from_lat,from_lon,target_name,startTime,duration,walkDistance
54.77528893,11.53025029,skole nr 1 ,1724314773000.0,2230.0,400.98
54.77528893,11.53025029,nakskov skole,1724313695000.0,4130.0,3551.98
54.77568901,11.52945818,skole nr 1 ,1724314715000.0,2288.0,468.88
54.77568901,11.52945818,nakskov skole,1724313637000.0,4188.0,3619.88
54.77534662,11.530485,skole nr 1 ,1724314760000.0,2243.0,417.35
54.77534662,11.530485,nakskov skole,1724313682000.0,4143.0,3568.34
54.77573622,11.5294256,skole nr 1 ,1724314715000.0,2288.0,468.91999999999996
54.77573622,11.5294256,nakskov skole,1724313637000.0,4188.0,3619.91
54.77537738,11.53063985,skole nr 1 ,1724314752000.0,2251.0,427.83
54.77537738,11.53063985,nakskov skole,1724313674000.0,4151.0,3578.83
54.77572128,11.52977433,skole nr 1 ,1724314731000.0,2272.0,448.69
54.77572128,11.52977433,nakskov skole,1724313653000.0,4172.0,3599.68
54.7752926,11.53118611,skole nr 1 ,1724314719000.0,2284.0,465.6
54.7752926,11.53118611,nakskov skole,1724313641000.0,4184.0,3616.6
54.77572567,11.52979304,skole nr 1 ,1724314732000.0,2271.0,447.74
54.77572567,11.52979304,nakskov skole,1724313654000.0,4171.0,3598.7400000000002
54.77494355,11.53170947,skole nr 1 ,1724314707000.0,2296.0,484.0
54.77494355,11.53170947,nakskov skole,1724314707000.0,3118.0,1575.38
54.77571801,11.52979802,skole nr 1 ,1724314732000.0,2271.0,446.83
54.77571801,11.52979802,nakskov skole,1724313654000.0,4171.0,3597.83
54.7746159,11.53181608,skole nr 1 ,1724314736000.0,2267.0,446.40999999999997
54.7746159,11.53181608,nakskov skole,1724314736000.0,3089.0,1537.79
54.77548863,11.52995234,skole nr 1 ,1724314753000.0,2250.0,419.48
54.77548863,11.52995234,nakskov skole,1724313675000.0,4150.0,3570.4700000000003
54.77517337,11.5314417,skole nr 1 ,1724314703000.0,2300.0,486.67999999999995
54.77517337,11.5314417,nakskov skole,1724313625000.0,4200.0,3637.68
54.77543881,11.52998807,skole nr 1 ,1724314758000.0,2245.0,413.48
54.77543881,11.52998807,nakskov skole,1724313680000.0,4145.0,3564.48
54.77512801,11.53153428,skole nr 1 ,1724314693000.0,2310.0,494.47
54.77512801,11.53153428,nakskov skole,1724313615000.0,4210.0,3645.4700000000003
54.77567131,11.53071524,skole nr 1 ,1724314675000.0,2328.0,515.4599999999999
54.77567131,11.53071524,nakskov skole,1724314675000.0,3150.0,1606.8400000000001
54.77507924,11.53160977,skole nr 1 ,1724314695000.0,2308.0,500.37
54.77507924,11.53160977,nakskov skole,1724313609000.0,4216.0,3653.21
54.77502882,11.53164683,skole nr 1 ,1724314699000.0,2304.0,494.28999999999996
54.77502882,11.53164683,nakskov skole,1724313605000.0,4220.0,3659.29
54.77495387,11.53170192,skole nr 1 ,1724314706000.0,2297.0,485.24
54.77495387,11.53170192,nakskov skole,1724314706000.0,3119.0,1576.62
54.77489228,11.53174629,skole nr 1 ,1724314712000.0,2291.0,477.8299999999999
54.77489228,11.53174629,nakskov skole,1724314712000.0,3113.0,1569.21
54.77478374,11.53181275,skole nr 1 ,1724314722000.0,2281.0,465.06999999999994
54.77478374,11.53181275,nakskov skole,1724314722000.0,3103.0,1556.45
54.77555465,11.53136887,skole nr 1 ,1724314703000.0,2300.0,484.6
54.77555465,11.53136887,nakskov skole,1724313625000.0,4200.0,3635.6
54.77566698,11.53184497,skole nr 1 ,1724314678000.0,2325.0,517.5899999999999
54.77566698,11.53184497,nakskov skole,1724313600000.0,4225.0,3668.59
54.77578061,11.53232567,skole nr 1 ,1724314652000.0,2351.0,550.9
54.77578061,11.53232567,nakskov skole,1724314652000.0,3173.0,1642.28
54.77586549,11.53268549,skole nr 1 ,1724314632000.0,2371.0,575.8399999999999
54.77586549,11.53268549,nakskov skole,1724314632000.0,3193.0,1667.22
54.77595779,11.53307548,skole nr 1 ,1724314612000.0,2391.0,602.87
54.77595779,11.53307548,nakskov skole,1724314612000.0,3213.0,1694.25
54.77596257,11.5320307,skole nr 1 ,1724314635000.0,2368.0,567.17
54.77596257,11.5320307,nakskov skole,1724314635000.0,3190.0,1658.5500000000002
54.77604511,11.53344606,skole nr 1 ,1724314591000.0,2412.0,628.53
54.77604511,11.53344606,nakskov skole,1724314591000.0,3234.0,1719.91
54.77616502,11.5318904,skole nr 1 ,1724314616000.0,2387.0,591.41
54.77616502,11.5318904,nakskov skole,1724314616000.0,3209.0,1682.79
54.77570819,11.53379043,skole nr 1 ,1724314560000.0,2443.0,674.55
54.77570819,11.53379043,nakskov skole,1724314560000.0,3265.0,1765.93
54.77623177,11.53184413,skole nr 1 ,1724314612000.0,2391.0,597.14
54.77623177,11.53184413,nakskov skole,1724314612000.0,3213.0,1688.52
54.77623177,11.53184413,skole nr 1 ,1724314612000.0,2391.0,597.14
54.77623177,11.53184413,nakskov skole,1724314612000.0,3213.0,1688.52
54.77558531,11.53326803,skole nr 1 ,1724314588000.0,2415.0,638.37
54.77558531,11.53326803,nakskov skole,1724314588000.0,3237.0,1729.75
54.77614561,11.53190385,skole nr 1 ,1724314618000.0,2385.0,589.0899999999999
54.77614561,11.53190385,nakskov skole,1724314618000.0,3207.0,1680.47
54.77593112,11.5320525,skole nr 1 ,1724314638000.0,2365.0,563.41
54.77593112,11.5320525,nakskov skole,1724314638000.0,3187.0,1654.79
54.77549534,11.53288259,skole nr 1 ,1724314609000.0,2394.0,611.6999999999999
54.77549534,11.53288259,nakskov skole,1724314609000.0,3216.0,1703.08
54.77504877,11.53284668,skole nr 1 ,1724314659000.0,2344.0,545.6999999999999
54.77504877,11.53284668,nakskov skole,1724314659000.0,3166.0,1637.08
54.77537187,11.53262067,skole nr 1 ,1724314630000.0,2373.0,584.4399999999999
54.77537187,11.53262067,nakskov skole,1724314630000.0,3195.0,1675.8200000000002
54.77517528,11.53275819,skole nr 1 ,1724314648000.0,2355.0,560.87
54.77517528,11.53275819,nakskov skole,1724314648000.0,3177.0,1652.25
54.77492058,11.53293635,skole nr 1 ,1724314671000.0,2332.0,530.3299999999999
54.77492058,11.53293635,nakskov skole,1724314671000.0,3154.0,1621.71
54.77563726,11.5305706,skole nr 1 ,1724314668000.0,2335.0,525.48
54.77563726,11.5305706,nakskov skole,1724314668000.0,3157.0,1616.8600000000001
54.77590489,11.53054823,skole nr 1 ,1724314653000.0,2350.0,544.0899999999999
54.77590489,11.53054823,nakskov skole,1724314653000.0,3172.0,1635.47
54.77618471,11.53308245,skole nr 1 ,1724314582000.0,2421.0,635.93
54.77618471,11.53308245,nakskov skole,1724314582000.0,3243.0,1727.31
54.77636162,11.53296157,skole nr 1 ,1724314566000.0,2437.0,657.0699999999999
54.77636162,11.53296157,nakskov skole,1724314566000.0,3259.0,1748.45
54.77647344,11.53288019,skole nr 1 ,1724314559000.0,2444.0,665.3199999999999
54.77647344,11.53288019,nakskov skole,1724314559000.0,3266.0,1756.7
54.77647344,11.53288019,skole nr 1 ,1724314559000.0,2444.0,665.3199999999999
54.77647344,11.53288019,nakskov skole,1724314559000.0,3266.0,1756.7
54.77638897,11.53294243,skole nr 1 ,1724314563000.0,2440.0,660.3499999999999
54.77638897,11.53294243,nakskov skole,1724314563000.0,3262.0,1751.73
54.77621443,11.53306215,skole nr 1 ,1724314579000.0,2424.0,639.48
54.77621443,11.53306215,nakskov skole,1724314579000.0,3246.0,1730.8600000000001
54.77587087,11.5304088,skole nr 1 ,1724314646000.0,2357.0,553.79
54.77587087,11.5304088,nakskov skole,1724314646000.0,3179.0,1645.17
54.775906,11.53055275,skole nr 1 ,1724314653000.0,2350.0,543.77
54.775906,11.53055275,nakskov skole,1724314653000.0,3172.0,1635.15
54.77607512,11.5307444,skole nr 1 ,1724314662000.0,2341.0,538.3299999999999
54.77607512,11.5307444,nakskov skole,1724314662000.0,3163.0,1629.71
54.77595245,11.53083129,skole nr 1 ,1724314673000.0,2330.0,523.91
54.77595245,11.53083129,nakskov skole,1724314673000.0,3152.0,1615.29
